Open,High,Low,Adj Close
14112.2,14112.2,13154.7,13657.2
12897.7,14377.4,12755.6,14156.4
14681.9,14681.9,12350.1,12952.2
14695.8,15279,14307,14656.2
15864.1,15888.4,13937.3,14606.5
16163.5,16930.9,15114.3,15838.5
14036.6,16461.2,14028.9,16099.8
13995.9,14593,13448.9,14026.6
14608.2,14626,12747.7,13925.8
13948.7,15603.2,13828.8,14699.2
15898,15943.4,11833,13831.8
16642.4,17567.7,15342.7,15802.9
17760.3,17934.7,16077.7,16624.6
19118.3,19177.8,17275.4,17776.7
19106.4,19371,18355.9,19114.2
19475.8,20089,18974.1,19140.8
17760.3,19716.7,17515.3,19497.4
16601.3,18154.1,16601.3,17706.9
16384.6,17085.8,16185.9,16564
17500,17653.1,16039.7,16408.2
16919.8,17781.8,16571.6,17415.4
15427.4,17513.9,15404.8,16936.8
15168.4,15850.6,13226.6,15455.4
16523.3,16783,13674.9,15178.2
17802.9,18353.4,14336.9,16569.4
14266.1,17899.7,14057.3,17899.7
11923.4,14369.1,11923.4,14291.5
11685.7,12032,11604.6,11916.7
11315.4,11657.2,11081.8,11657.2
11082.7,11858.7,10862,11323.2
10978.3,11320.2,10905.1,11074.6
10198.6,11046.7,9694.65,10975.6
9906.79,10801,9202.05,10233.6
10077.4,11517.4,9601.03,9888.61
9823.43,10125.7,9736.3,10058.8
9352.72,9818.35,9352.72,9818.35
8789.04,9522.93,8775.59,9330.55
8241.71,8790.92,8191.15,8790.92
8074.02,8374.16,7940.93,8253.69
8232.38,8267.4,8038.77,8038.77
8077.95,8302.26,8075.47,8253.55
8205.74,8348.66,7762.71,8071.26
8039.07,8336.86,7949.36,8200.64
7766.03,8101.91,7694.1,8036.49
7697.21,7884.99,7463.44,7790.15
7853.57,8004.59,7561.09,7708.99
7323.24,7967.38,7176.58,7871.69
6634.76,7342.25,6634.76,7315.54
6561.48,6764.98,6461.75,6635.75
5938.25,6811.19,5844.29,6559.49
6295.45,6625.05,5519.01,5950.07
6618.61,6873.15,6204.22,6357.6
7173.73,7312,6436.87,6618.14
7446.83,7446.83,7101.52,7143.58
7141.38,7776.42,7114.02,7459.69
7023.1,7253.32,7023.1,7144.38
7403.22,7445.77,7007.31,7022.76
7404.52,7617.48,7333.19,7407.41
7164.48,7492.86,7031.28,7379.95
7087.53,7461.29,7002.94,7207.76
6777.77,7367.33,6758.72,7078.5
6440.97,6767.31,6377.88,6767.31
6132.02,6470.43,6103.33,6468.4
6114.85,6214.99,6040.85,6130.53
5754.44,6255.71,5724.58,6153.85
5787.82,5876.72,5689.19,5753.09
5899.74,5988.39,5728.82,5780.9
5747.95,5976.8,5721.22,5904.83
5524.6,5754.33,5397.88,5750.8
5935.52,5935.52,5504.18,5526.64
6006,6075.59,5732.47,5930.32
6036.66,6076.26,5792.34,6008.42
5996.79,6194.88,5965.07,6031.6
5708.11,6060.11,5627.23,6011.45
5583.74,5744.35,5531.06,5708.52
5603.82,5603.82,5151.44,5590.69
5741.58,5800.35,5472.72,5605.51
5687.57,5776.23,5544.21,5725.59
5835.96,5852.48,5478.61,5678.19
5643.53,5837.7,5591.64,5831.79
5464.16,5840.3,5436.85,5647.21
4829.58,5446.91,4822,5446.91
4789.25,4873.73,4751.63,4826.48
4776.21,4922.17,4765.1,4781.99
4614.52,4878.71,4564.25,4772.02
4429.67,4624.14,4405.64,4610.48
4369.35,4443.88,4321.05,4426.89
4324.46,4413.27,4320.53,4370.81
4229.88,4362.64,4164.05,4328.41
4319.37,4352.31,4210.42,4229.36
4408.46,4432.47,4258.89,4317.48
4395.81,4470.23,4377.46,4409.32
4341.05,4403.74,4269.81,4403.74
4166.11,4358.43,4160.86,4338.71
4171.62,4214.63,4039.29,4163.07
4197.13,4279.31,4109.7,4174.73
3892.94,4210.05,3884.82,4200.67
3928.41,3969.89,3869.9,3892.35
3681.58,3950.25,3681.58,3926.07
3796.15,3796.15,3666.9,3682.84
3629.92,3819.21,3594.58,3792.4
3628.02,3758.27,3553.53,3630.7
3901.47,3916.42,3613.63,3631.04
3916.36,4031.39,3857.73,3905.95
4073.79,4094.07,3868.87,3924.97
3591.09,4079.23,3591.09,4065.2
3606.28,3664.81,3445.64,3582.88
3637.75,3808.84,3487.79,3625.04
3166.3,3733.45,2946.62,3637.52
3875.37,3920.6,3153.86,3154.95
4131.98,4131.98,3789.92,3882.59
