Open,High,Low,Adj Close,Date
6799.29,6910.18,6706.63,6906.92,6/11/2018
7499.55,7499.55,6709.07,6786.02,6/10/2018
7632.52,7683.58,7531.98,7531.98,6/9/2018
7685.14,7698.19,7558.4,7624.92,6/8/2018
7650.82,7741.27,7650.82,7678.24,6/7/2018
7625.97,7680.43,7502.01,7653.98,6/6/2018
7500.9,7643.23,7397,7633.76,6/5/2018
7722.53,7753.82,7474.04,7514.47,6/4/2018
7632.09,7754.89,7613.04,7720.25,6/3/2018
7536.72,7695.83,7497.26,7643.45,6/2/2018
7500.7,7604.73,7407.34,7541.45,6/1/2018
7406.15,7608.9,7361.13,7494.17,5/31/2018
7469.73,7573.77,7313.6,7406.52,5/30/2018
7129.46,7526.42,7090.68,7472.59,5/29/2018
7371.31,7419.05,7100.89,7135.99,5/28/2018
7362.08,7381.74,7270.96,7368.22,5/27/2018
7486.48,7595.16,7349.12,7355.88,5/26/2018
7592.3,7659.14,7392.65,7480.14,5/25/2018
7561.12,7738.6,7331.14,7587.34,5/24/2018
8037.08,8054.66,7507.88,7557.82,5/23/2018
8419.87,8423.25,8004.58,8041.78,5/22/2018
8522.33,8557.52,8365.12,8418.99,5/21/2018
8246.99,8562.41,8205.24,8513.25,5/20/2018
8255.73,8372.06,8183.35,8247.18,5/19/2018
8091.83,8274.12,7974.82,8250.97,5/18/2018
8370.05,8445.54,8054.12,8094.32,5/17/2018
8504.41,8508.43,8175.49,8368.83,5/16/2018
8705.19,8836.19,8456.45,8510.38,5/15/2018
8713.1,8881.12,8367.97,8716.79,5/14/2018
8515.49,8773.55,8395.12,8723.94,5/13/2018
8441.44,8664.86,8223.5,8504.89,5/12/2018
9052.96,9052.96,8394.46,8441.49,5/11/2018
9325.96,9396.04,9040.52,9043.94,5/10/2018
9223.73,9374.76,9031.62,9325.18,5/9/2018
9380.87,9462.75,9127.77,9234.82,5/8/2018
9645.67,9665.85,9231.53,9373.01,5/7/2018
9845.31,9940.14,9465.25,9654.8,5/6/2018
9700.28,9964.5,9695.12,9858.15,5/5/2018
9695.5,9779.2,9585.96,9700.76,5/4/2018
9233.97,9798.33,9188.15,9743.86,5/3/2018
9104.6,9256.52,9015.14,9235.92,5/2/2018
9251.47,9255.88,8891.05,9119.01,5/1/2018
9426.11,9477.14,9166.81,9240.55,4/30/2018
9346.41,9531.49,9193.71,9419.08,4/29/2018
8939.27,9412.09,8931.99,9348.48,4/28/2018
9290.63,9375.47,8987.05,8987.05,4/27/2018
8867.32,9281.51,8727.09,9281.51,4/26/2018
9701.03,9745.32,8799.84,8845.74,4/25/2018
8934.34,9732.61,8927.83,9697.5,4/24/2018
8794.39,8958.55,8788.81,8930.88,4/23/2018
8925.06,9001.64,8779.61,8802.46,4/22/2018
8848.79,8997.57,8652.15,8895.58,4/21/2018
8286.88,8880.23,8244.54,8845.83,4/20/2018
8159.27,8298.69,8138.78,8294.31,4/19/2018
7944.43,8197.8,7886.01,8163.42,4/18/2018
8071.66,8285.96,7881.72,7902.09,4/17/2018
8337.57,8371.15,7925.73,8058.67,4/16/2018
7999.33,8338.42,7999.33,8329.11,4/15/2018
7874.67,8140.71,7846,7986.24,4/14/2018
7901.09,8183.96,7758.93,7895.96,4/13/2018
6955.38,7899.23,6806.51,7889.25,4/12/2018
6843.47,6968.32,6817.59,6968.32,4/11/2018
6795.44,6872.41,6704.15,6834.76,4/10/2018
7044.32,7178.11,6661.99,6770.73,4/9/2018
6919.98,7111.56,6919.98,7023.52,4/8/2018
6630.51,7050.54,6630.51,6911.09,4/7/2018
6815.96,6857.49,6575,6636.32,4/6/2018
6848.65,6933.82,6644.8,6811.47,4/5/2018
7456.41,7469.88,6803.88,6853.84,4/4/2018
7102.26,7530.94,7072.49,7456.11,4/3/2018
6844.86,7135.47,6816.58,7083.8,4/2/2018
7003.06,7060.95,6526.87,6844.23,4/1/2018
6892.48,7207.85,6863.52,6973.53,3/31/2018
7171.45,7276.66,6683.93,6890.52,3/30/2018
7979.07,7994.33,7081.38,7165.7,3/29/2018
7836.83,8122.89,7809.17,7954.48,3/28/2018
8200,8232.78,7797.28,7833.04,3/27/2018
8498.47,8530.08,7921.43,8209.4,3/26/2018
8612.81,8682.01,8449.1,8495.78,3/25/2018
8901.95,8996.18,8665.7,8668.12,3/24/2018
8736.25,8879.62,8360.62,8879.62,3/23/2018
8939.44,9100.71,8564.9,8728.47,3/22/2018
8937.48,9177.37,8846.33,8929.28,3/21/2018
8619.67,9051.02,8389.89,8913.47,3/20/2018
8344.12,8675.87,8182.4,8630.65,3/19/2018
7890.52,8245.51,7397.99,8223.68,3/18/2018
8321.91,8346.53,7812.82,7916.88,3/17/2018
8322.91,8585.15,8005.31,8338.35,3/16/2018
8290.76,8428.35,7783.05,8300.86,3/15/2018
9214.65,9355.85,8068.59,8269.81,3/14/2018
9173.04,9470.38,8958.19,9194.85,3/13/2018
9602.93,9937.5,8956.43,9205.12,3/12/2018
8852.78,9711.89,8607.12,9578.63,3/11/2018
9350.59,9531.32,8828.47,8866,3/10/2018
